timestamp,session_id,user_message,router_intent,retrieved_projects,similarity_scores,kb_version,fields_used
2026-02-10T20:28:23.536701,1n6f4r,hi,project_query,"[""hacienda_heneish"", ""jirian_palm_hills"", ""ritz_carlton_residences_cairo_palm_hills""]",[],v1.0,all
2026-02-10T20:28:42.480079,1n6f4r,Am looking for Properties in Cairo,list_projects,[],[],v1.0,all
2026-02-10T20:29:19.365649,1n6f4r,what are the Available properties ?,list_projects,[],[],v1.0,all
2026-02-10T20:32:54.309634,1n6f4r,hi,project_query,"[""hacienda_heneish"", ""jirian_palm_hills"", ""ritz_carlton_residences_cairo_palm_hills""]",[],v1.0,all
2026-02-10T20:33:11.375533,1n6f4r,List me down all all all Properties that you have ,list_projects,"[""hacienda_heneish"", ""hacienda_waters"", ""jirian_palm_hills""]",[],v1.0,all
2026-02-10T20:33:40.887703,1n6f4r,how many properties that you have ?,list_projects,"[""hacienda_blue"", ""hacienda_waters"", ""st_88""]",[],v1.0,all
2026-02-10T20:34:12.176309,1n6f4r,is taht all you have in palm Hills ?!?!,list_projects,"[""palm_hills_alexandria"", ""palm_hills_new_cairo"", ""palm_hills_katameya_1""]",[],v1.0,all
2026-02-10T20:40:37.392867,1n6f4r,hi,support_contact,[],[],v1.0,all
2026-02-10T20:40:54.044267,1n6f4r,List me down all properties in Cairo,project_query,"[""palm_hills_new_cairo"", ""palmet_new_cairo"", ""jirian_palm_hills""]",[],v1.0,all
2026-02-10T20:41:16.177003,1n6f4r,Am looking for Commercial ,list_projects,"[""st_88"", ""golf_central"", ""palm_central""]",[],v1.0,all
2026-02-10T20:41:36.601622,1n6f4r,yes,lead_capture,"[""jirian_palm_hills"", ""st_88"", ""palm_hills_alexandria""]",[],v1.0,all
2026-02-10T20:42:18.334433,1n6f4r,yepp,project_query,"[""st_88"", ""p_x"", ""bamboo_iii""]",[],v1.0,all
2026-02-10T20:42:25.219071,1n6f4r,Dave,support_contact,[],[],v1.0,all
2026-02-10T20:42:35.231089,1n6f4r,87263963747,support_contact,[],[],v1.0,all
2026-02-10T20:42:42.711293,1n6f4r,alright,support_contact,[],[],v1.0,all
2026-02-10T20:42:51.742665,1n6f4r,cool,project_query,"[""st_88"", ""golf_central"", ""palm_central""]",[],v1.0,all
2026-02-11T03:32:52.522416,1n6f4r,hi,project_query,"[""hacienda_heneish"", ""jirian_palm_hills"", ""ritz_carlton_residences_cairo_palm_hills""]",[],v1.0,all
2026-02-11T03:33:12.315468,1n6f4r,Am looking for a Commercial property,list_projects,"[""st_88"", ""crown_central"", ""golf_central""]",[],v1.0,all
2026-02-11T03:33:28.955659,1n6f4r,"West Cairo, ",list_projects,"[""p_x"", ""bamboo_iii"", ""the_crown_extension""]",[],v1.0,all
2026-02-11T03:33:58.555837,1n6f4r,The Crown Extension maybe,project_query,"[""the_crown_extension"", ""the_crown"", ""crown_central""]",[],v1.0,all
2026-02-11T03:34:19.597790,1n6f4r,connect me with a sales consultant ,lead_capture,"[""st_88"", ""village_gate_mall"", ""golf_central""]",[],v1.0,all
2026-02-11T03:34:34.817926,1n6f4r,Dave & 9994566311,lead_capture,"[""badya"", ""97_hills"", ""hacienda_heneish""]",[],v1.0,all
2026-02-11T03:39:38.333240,1n6f4r,hi,support_contact,[],[],v1.0,all
2026-02-11T03:39:51.618214,1n6f4r,Am looking to buy a Property,lead_capture,"[""jirian_palm_hills"", ""hacienda_heneish"", ""hacienda_blue""]",[],v1.0,all
2026-02-11T03:40:10.399829,1n6f4r,Am looking for a Commercial property,list_projects,"[""st_88"", ""crown_central"", ""golf_central""]",[],v1.0,all
2026-02-11T03:40:29.229720,1n6f4r,Crown Central** in West Cairo  would work,project_query,"[""crown_central"", ""the_crown_extension"", ""the_crown""]",[],v1.0,all
2026-02-11T03:40:40.663699,1n6f4r,Am Dave,support_contact,[],[],v1.0,all
2026-02-11T03:40:56.505964,1n6f4r,9994566311,support_contact,[],[],v1.0,all
2026-02-11T03:41:15.415224,1n6f4r,maybe a Million USD,pricing,"[""hacienda_west"", ""hacienda_bay"", ""97_hills""]",[],v1.0,all
2026-02-11T03:42:17.153475,1n6f4r,own business and immediate,lead_capture,"[""st_88"", ""lakeyard"", ""hacienda_heneish""]",[],v1.0,all
2026-02-11T03:44:36.004769,1n6f4r,hi,project_query,"[""hacienda_heneish"", ""jirian_palm_hills"", ""ritz_carlton_residences_cairo_palm_hills""]",[],v1.0,all
2026-02-11T03:44:54.780642,1n6f4r,am looking for Commercial property,list_projects,"[""st_88"", ""crown_central"", ""golf_central""]",[],v1.0,all
2026-02-11T03:45:11.139039,1n6f4r,for an office space,list_projects,"[""palmet_new_cairo"", ""crown_central"", ""st_88""]",[],v1.0,all
2026-02-11T03:46:31.561928,1n6f4r,"Crown Central** - Situated in West Cairo (6th of October),",project_query,"[""crown_central"", ""the_crown_extension"", ""the_crown""]",[],v1.0,all
2026-02-11T03:46:47.198973,1n6f4r,am dave,support_contact,[],[],v1.0,all
2026-02-11T03:46:59.438530,1n6f4r,87266737587,support_contact,[],[],v1.0,all
2026-02-11T03:47:15.001553,1n6f4r,A million USD maybe,pricing,"[""hacienda_west"", ""hacienda_blue"", ""97_hills""]",[],v1.0,all
2026-02-11T03:47:52.332100,1n6f4r,own business,lead_capture,"[""st_88"", ""palm_central"", ""lakeyard""]",[],v1.0,all
2026-02-11T03:48:12.616971,1n6f4r,maybe coming may,lead_capture,"[""palmet_october"", ""bamboo"", ""jirian_palm_hills""]",[],v1.0,all
2026-02-11T03:51:55.914460,1n6f4r,hi,project_query,"[""hacienda_heneish"", ""jirian_palm_hills"", ""ritz_carlton_residences_cairo_palm_hills""]",[],v1.0,all
2026-02-11T03:53:06.825247,1n6f4r,looking for a commercial property,list_projects,"[""st_88"", ""crown_central"", ""golf_central""]",[],v1.0,all
2026-02-11T03:53:19.068949,1n6f4r,office space,list_projects,"[""st_88"", ""palmet_new_cairo"", ""crown_central""]",[],v1.0,all
2026-02-11T03:53:30.553395,1n6f4r,Palmet New Cairo**: Located in East Cairo (New Cairo),project_query,"[""palmet_new_cairo"", ""palm_hills_new_cairo"", ""palmet_october""]",[],v1.0,all
2026-02-11T03:53:45.451512,1n6f4r,am million dollars maybe,lead_capture,"[""hacienda_blue"", ""hacienda_west"", ""hacienda_waters""]",[],v1.0,all
2026-02-11T03:54:18.065574,1n6f4r,am Dave & 9726836877,lead_capture,"[""st_88"", ""jirian_palm_hills"", ""97_hills""]",[],v1.0,all
2026-02-11T03:54:39.873873,1n6f4r,immediate & for own business,lead_capture,"[""st_88"", ""golf_central"", ""palm_central""]",[],v1.0,all
2026-02-11T03:57:28.324233,1n6f4r,hi,project_query,"[""hacienda_heneish"", ""jirian_palm_hills"", ""ritz_carlton_residences_cairo_palm_hills""]",[],v1.0,all
2026-02-11T03:57:45.207501,1n6f4r,"am Dave

looking for a Commercial property",list_projects,"[""st_88"", ""crown_central"", ""golf_central""]",[],v1.0,all
2026-02-11T03:57:57.391607,1n6f4r,Golf Central** in West Cairo ,project_query,"[""golf_central"", ""golf_extension"", ""golf_views""]",[],v1.0,all
2026-02-11T03:58:06.749045,1n6f4r,office space,list_projects,"[""palmet_new_cairo"", ""crown_central"", ""st_88""]",[],v1.0,all
2026-02-11T03:58:22.263773,1n6f4r,62376517265,support_contact,[],[],v1.0,all
2026-02-11T03:58:48.353296,1n6f4r,"a million DOllars USD maybe

for own business",lead_capture,"[""hacienda_blue"", ""hacienda_heneish"", ""hacienda_bay""]",[],v1.0,all
2026-02-11T04:00:04.985900,1n6f4r,immediate,lead_capture,"[""st_88"", ""p_x"", ""jirian_palm_hills""]",[],v1.0,all
2026-02-11T04:10:02.421916,test_sess_sarah,My budget is 500k USD and I want to move in immediately.,lead_capture,"[""new_capital_gardens"", ""hacienda_bay"", ""hacienda_west""]",[],v1.0,all
2026-02-11T04:10:42.521257,test_sess_mike,My budget is $2 million and I need to start operations by June 2026.,lead_capture,"[""st_88"", ""lakeyard"", ""hacienda_blue""]",[],v1.0,all
2026-02-11T04:12:29.839825,1n6f4r,hi,project_query,"[""hacienda_heneish"", ""jirian_palm_hills"", ""ritz_carlton_residences_cairo_palm_hills""]",[],v1.0,all
2026-02-11T04:12:44.609309,1n6f4r,am looking for commercial property,list_projects,"[""st_88"", ""crown_central"", ""golf_central""]",[],v1.0,all
2026-02-11T04:13:31.736078,1n6f4r,West Cairo,list_projects,"[""p_x"", ""bamboo_iii"", ""the_crown_extension""]",[],v1.0,all
2026-02-11T04:13:46.643412,1n6f4r,dave,support_contact,[],[],v1.0,all
2026-02-11T04:14:01.977527,1n6f4r,7625376285,support_contact,[],[],v1.0,all
2026-02-11T04:14:30.714236,1n6f4r,"office space & immediate

a Million Dollars USD",lead_capture,"[""crown_central"", ""st_88"", ""palmet_new_cairo""]",[],v1.0,all
2026-02-11T04:22:50.154067,1n6f4r,Hi,support_contact,[],[],v1.0,all
2026-02-11T04:23:04.607576,1n6f4r,Looking for commercial property,list_projects,"[""st_88"", ""lakeyard"", ""palm_central""]",[],v1.0,all
2026-02-11T04:23:20.234675,1n6f4r,in west Cairo,list_projects,"[""crown_central"", ""palmet_october"", ""hale_town""]",[],v1.0,all
2026-02-11T04:23:49.756192,1n6f4r,crown central,project_query,"[""crown_central"", ""golf_central"", ""palm_central""]",[],v1.0,all
2026-02-11T04:23:59.425908,1n6f4r,"office space, immediately",lead_capture,[],[],v1.0,all
2026-02-11T04:24:11.834459,1n6f4r,andrew,lead_capture,"[""crown_central"", ""golf_central""]",[],v1.0,all
2026-02-11T04:24:26.947154,1n6f4r,"99278367678

a million USD",lead_capture,"[""crown_central"", ""golf_central"", ""hale_town""]",[],v1.0,all
